,itemLabel,lugarLabel,tipoLabel,areaLabel,url,location,lat,long
38,GaudiLabs,Lucern Switzerland,Lab,community science,http://www.gaudi.ch/GaudiLabs/?page_id=2,"Luzern, Schweiz/Suisse/Svizzera/Svizra",47.0505452,8.3054682
39,OpenIOLabs,Cambridge UK,company,academic research,https://twitter.com/openiolabs,"Cambridge, Cambridgeshire, East of England, England, UK",52.2034823,0.1235817
40,Pixelache,Helsinki Finland,community,community science,https://pixelache.ac,"Helsinki, Helsingin seutukunta, Uusimaa, Etelä-Suomi, Manner-Suomi, Suomi",60.1674086,24.9425683
41,SensAR,Buenos Aires,project,academic research,http://www.sensar.com.ar/,"CABA, Argentina",-34.6075616,-58.437076
42,Pineapple Labs,Heidelberg Germany,project,art,http://www.pineapplelaboratories.org/,"Heidelberg, Regierungsbezirk Karlsruhe, Baden-Württemberg, 69120, Deutschland",49.4093582,8.694724
43,Cytera cell works,London UK,company,academic research,https://cytera.bio/,"London, Greater London, England, UK",51.4893335,-0.144055084527687
44,Blackbeard Biologic,Chesapeake Bay USA,company,community science,http://www.blackbeardbiologic.com/,"Chesapeake Bay, Dorchester County, Maryland, USA",38.5167886,-76.3830046
45,Bento,UK,company,education,www.bento.bio,UK,54.7023545,-3.2765753
46,FabLab Universidad de Chile,Santiago,Lab,academic research,http://www.fablab.uchile.cl/,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile",-33.4377968,-70.6504451
47,Green Start,New Hampshire USA,non profit,education,http://www.greenstartnh.org/,"New Hampshire, USA",43.4849133,-71.6553992
48,Federici Lab,Santiago,university research group,academic research,https://federicilab.org/,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile",-33.4377968,-70.6504451
49,Feminist Approach to Technology (FAT),New Delhi,non profit,education,http://www.fat-net.org/,"New Delhi, Delhi, India",28.6141793,77.2022662
50,Rede InfoAmazonia,Amazonas,project,community science,https://publiclab.org/notes/vjpixel/07-31-2014/rede-infoamazonia,"Rio Amazonas, Microrregião de Manaus, Mesorregião Centro Amazonense, AM, Região Norte, 69100-143, Brasil",-3.3239708,-60.6280279
51,OurSci,Ann Arbor MI USA,company,community science,Our-Sci.net,"Ann Arbor, Washtenaw County, Michigan, USA",42.2681569,-83.7312291
52,Parque Explora,Medellín,science museum,education,http://www.parqueexplora.org,"Medellín, Zona Urbana Medellín, Medellín, Valle de Aburrá, Antioquia, 0500, Colombia",6.2443382,-75.573553
53,OpenBCI,Brooklyn NY,community,community science, www.openbci.com,"BK, Kings County, NYC, New York, USA",40.6501038,-73.9495823
54,Kumasi Hive,Kumasi Ghana,Fab Lab,social innovation,www.kumasihive.com,"Kumasi, Ashanti Region, Ghana",6.698081,-1.6230404
55,Pulse Sensor,Brooklyn NY,company,social innovation,https://pulsesensor.com/,"BK, Kings County, NYC, New York, USA",40.6501038,-73.9495823
56,Centro de Investigaciones para la Transformación (CENIT),Buenos Aires Argentina,university research group,academic research,http://www.fund-cenit.org.ar/,"CABA, Argentina",-34.6075616,-58.437076
57,Kitspace,UK,documentation platform,community science,https://kitspace.org/,UK,54.7023545,-3.2765753
58,Kathmandu Living Labs ,Kathmandu Nepal,company,community science,http://www.kathmandulivinglabs.org/,"Kathmandu, काठमाडौं, बागमती अञ्चल, मध्यमाञ्चल विकास क्षेत्र, 44600, नेपाल",27.708796,85.320244
59,Interspecifics,Mexico City,project,art,http://interspecifics.cc,"Ciudad de México, Cuauhtémoc, CDMX, 06060, México",19.4326009,-99.1333416
60,FOSS ASIA,Vietnam,community,community science,https://fossasia.org/about/,Việt Nam,13.2904027,108.4265113
61,Sci-bots,Toronto Canada,company,academic research,https://sci-bots.com/,"Toronto, Golden Horseshoe, Ontario, M6K 1X9, Canada",43.653963,-79.387207
62,Baltimore Underground Science Space,Baltimore MD USA,Lab,community science,http://www.bugssonline.org/,"Baltimore, Maryland, USA",39.2847494,-76.6204746396999
63,The Tech Academy,Bangladesh,company,education,http://thetechacademy.net/,"বাংলাদেশ, Bhabanipur, ময়মনসিংহ জেলা, ময়মনসিংহ বিভাগ, বাংলাদেশ",24.4768598,90.2932299
64,Greenovation Hub,Beijing China ,non profit,academic research,http://www.ghub.org/,"北京市, China 中国",40.190632,116.412144
65,La Jaquer Escool,Medellín,project,education,http://platohedro.org/la-jaquer-escool/,"Medellín, Zona Urbana Medellín, Medellín, Valle de Aburrá, Antioquia, 0500, Colombia",6.2443382,-75.573553
66,APSOHA: Open Science in Haiti & Francophone Africa Universities,Quebec Canada,project,academic research,https://www.projetsoha.org/,"Québec, Canada",52.4760892,-71.8258668
67,Center for Effective Global Action (CEGA) / Berkeley University of California,Berkeley USA,university research group,academic research,https://cega.berkeley.edu,"Berkeley, Alameda County, California, USA",37.8708393,-122.2728639
68,Waag Society,Amsterdam,non profit,community science,https://waag.org,"Amsterdam, Noord-Holland, Nederland",52.3745403,4.89797550561798
69,Conservation X Labs,Washington DC.,company,community science,https://conservationxlabs.com,"Washington, D.C., USA",38.8950092,-77.0365625
70,Prometheus Science,UK,company,academic research,https://prometheus-science.com/,UK,54.7023545,-3.2765753
71, Open Neuroscience,UK,community,academic research,https://openneuro.org/,UK,54.7023545,-3.2765753
72,Femhack,Montreal Canada,Lab,community science,https://wiki.p2pfoundation.net/FemHack,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.6103642
73,FabLab Amazonas,Peru,Fab Lab,community science,amazon.fablat.org,Perú,-6.8699697,-75.0458515
74,Young Makers & ChangeMakers,Hong Kong,community,education,https://www.facebook.com/pg/YoungMakers.ChangeMakers,"香港 Hong Kong, 中西區 Central and Western District, HK, PACIFIC PLACE, 中国",22.2793278,114.1628131
75,Alquimetricos,Argentina,project,education,http://alquimetricos.com/,Argentina,-34.9964963,-64.9672817
76,Twende Innovation Centre,Arusha Tanzania ,Lab,education,http://www.twende-tanzania.org,"Arusha, Northern Zone, 23210, Tanzania",-3.427534,36.7085848184899
77,LakeHub,Kenya,company,social innovation,https://lakehub.co.ke/,Kenya,1.4419683,38.4313975
78,Farm Hack,USA,community,community science,https://farmhack.org,USA,39.7837304,-100.4458825
79,Synthetic Biology Club Brazil (Synbio Brasil),Sao Paulo Brazil,community,academic research,http://www.synbiobrasil.org/,"São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, SP, Região Sudeste, Brasil",-23.5506507,-46.6333824
80,SDG Solution Space – Geneva-Tsinghua Initiative,Geneva Switzerland,Lab,academic research,https://sdgsolutionspace.org/,"Genève, Schweiz/Suisse/Svizzera/Svizra",46.2017559,6.1466014
81,UbaLab,Ubatuba Brazil,Lab,community science,http://ubalab.org,"Ubatuba, Região Imediata de Caraguatatuba-Ubatuba-São Sebastião, RMVPLN;RMVale, Região Intermediária de São José dos Campos, SP, Região Sudeste, Brasil",-23.433162,-45.083415
82,Science art group 18 apples,Moscow Russia,project,art,https://cargocollective.com/18apples/,"Москва, Центральный административный округ, Москва, ЦФО, Россия",55.7504461,37.6174943
83,Open FIESTA Tsinghua University,Shenzhen China,Lab,education,www.fiesta.tsinghua.edu.cn,"深圳市, 广东省, China 中国",22.5445697,114.0545346
84,Open Science School,Paris France,non profit,education,http://openscienceschool.org/,"Paris, Île-de-France, France métropolitaine, France",48.8566101,2.3514992
85,SeeSD,Senegal,non profit,education,https://www.seesd.org/,Sénégal,14.4750607,-14.4529612
86,WoeLab,Togo,Fab Lab,community science,https://www.woelabo.com/,Togo,8.7800265,1.0199765
87,IRNAS,Slovenia,company,social innovation,https://www.irnas.eu/,Slovenija,45.8133113,14.4808369
88,disaster.radio,Oakland CA,project,community science,https://disaster.radio/,"Oakland, Alameda County, California, USA",37.8044557,-122.2713563
89,Breathing games,Slovenia,company,community science,http://breathing-games.com/,Slovenija,45.8133113,14.4808369
90,LabLab UG ,Leipzig Germany,Lab,academic research,http://lablab.eu/,"Leipzig, Sachsen, 04109, Deutschland",51.3406321,12.3747329
91,Mboalab,Cameroon,Lab,community science,http://www.mboalab.africa,Cameroun,4.6125522,13.1535811
92,Vilsquare,Nigeria,Lab,community science,https://vilsquare.org,Nigeria,9.6000359,7.9999721
93,Pechblenda lab,Barcelona,project,community science,https://network23.org/pechblendalab/,"Barcelona, BCN, CAT, España",41.3828939,2.1774322
94,Mushroomcloud Maker Space ,Pudong Shanghai,Lab,community science,http://www.mushroomcloud.cc/,"浦东新区, 上海市, 200122, 中国",31.2217826,121.5387401
95,Conservify,Los Angeles CA,company,community science,http://conservify.org/,"LA, Los Angeles County, California, United States of America",34.0536909,-118.2427666
96,OSBeehives,Denver USA,company,community science,https://www.osbeehives.com/,"Denver County, Colorado, USA",39.7348381,-104.9653271
97,National Institute of Technology  Warangal,Warangal India,research institute,academic research,www.nitw.ac.in,"Warangal, Warangal mandal, Warangal Urban, Telangana, 506007, India",17.9899747,79.6043994
98,KnowFlow,China,project,community science,https://publiclab.org/wiki/knowflow,中国,35.000074,104.999927
99,kabakoo,Bamako Mali,Lab,community science,https://www.kabakoo.africa/,"Bamako, Bamako - Koulikoro, Mali",12.60503275,-7.98651367343936
100,Scintia,Monterrey NL  México,company,education,https://www.scintia.com/,"Hilton Garden Inn Monterrey Airport, NL 54, Apodaca, Nuevo León, 66620, México",25.7753549,-100.113136616258
101,STICLab,'Dar Es Salaam TANZANIA',company,community science,http://sticlab.co.tz,"Dar es Salaam, Coastal Zone, 11101, Tanzania",-6.8160837,39.2803583
102,BioHacking Colombia,Medellín,community,education,https://www.facebook.com/BiohackingColombia/,"Medellín, Zona Urbana Medellín, Medellín, Valle de Aburrá, Antioquia, 0500, Colombia",6.2443382,-75.573553
