item,itemLabel,lugarLabel,tipoLabel,areaLabel,url,coords,gosh
Q62395429,La Jaquer Escool,Medellín,project,education,http://platohedro.org/la-jaquer-escool/,Point(-75.574827777 6.244747222),no
,APSOHA: Open Science in Haiti & Francophone Africa Universities,Quebec Canada,project,academic research,https://www.projetsoha.org/,,yes
,Center for Effective Global Action (CEGA) / Berkeley University of California,Berkeley USA,university research group,academic research,https://cega.berkeley.edu,,yes
,Waag Society,Amsterdam,non profit,community science,https://waag.org,,yes
,Conservation X Labs,Washington DC.,company,community science,https://conservationxlabs.com,,yes
,Prometheus Science,UK,company,academic research,https://prometheus-science.com/,,yes
, Open Neuroscience,UK,community,academic research,https://openneuro.org/,,yes
,Femhack,Montreal Canada,Lab,community science,https://wiki.p2pfoundation.net/FemHack,,yes
,FabLab Amazonas,Peru,Fab Lab,community science,amazon.fablat.org,,yes
,Young Makers & ChangeMakers,Hong Kong,community,education,https://www.facebook.com/pg/YoungMakers.ChangeMakers,,yes
,Alquimetricos,Argentina,project,education,http://alquimetricos.com/,,yes
,Twende Innovation Centre,Arusha Tanzania ,Lab,education,http://www.twende-tanzania.org,,yes
,LakeHub,Kenya,company,social innovation,https://lakehub.co.ke/,,yes
,Farm Hack,USA,community,community science,https://farmhack.org,,yes
,Synthetic Biology Club Brazil (Synbio Brasil),Sao Paulo Brazil,community,academic research,http://www.synbiobrasil.org/,,yes
,SDG Solution Space – Geneva-Tsinghua Initiative,Geneva Switzerland,Lab,academic research,https://sdgsolutionspace.org/,,yes
,UbaLab,Ubatuba Brazil,Lab,community science,http://ubalab.org,,yes
,Science art group 18 apples,Moscow Russia,project,art,https://cargocollective.com/18apples/,,yes
,Open FIESTA Tsinghua University,Shenzhen China,Lab,education,www.fiesta.tsinghua.edu.cn,,yes
,Open Science School,Paris France,non profit,education,http://openscienceschool.org/,,no
,SeeSD,Senegal,non profit,education,https://www.seesd.org/,,yes
,WoeLab,Togo,Fab Lab,community science,https://www.woelabo.com/,,yes
,IRNAS,Slovenia,company,social innovation,https://www.irnas.eu/,,yes
,disaster.radio,Oakland CA,project,community science,https://disaster.radio/,,yes
,Breathing games,Slovenia,company,community science,http://breathing-games.com/,,yes
,LabLab UG ,Leipzig Germany,Lab,academic research,http://lablab.eu/,,yes
,Mboalab,Cameroon,Lab,community science,http://www.mboalab.africa,,yes
,Vilsquare,Nigeria,Lab,community science,https://vilsquare.org,,no
,Pechblenda lab,Barcelona,project,community science,https://network23.org/pechblendalab/,,yes
,Mushroomcloud Maker Space ,Pudong Shanghai,Lab,community science,http://www.mushroomcloud.cc/,,yes
,Conservify,Los Angeles CA,company,community science,http://conservify.org/,,yes
,OSBeehives,Denver USA,company,community science,https://www.osbeehives.com/,,yes
,National Institute of Technology  Warangal,Warangal India,research institute,academic research,www.nitw.ac.in,,yes
,KnowFlow,China,project,community science,https://publiclab.org/wiki/knowflow,,yes
,kabakoo,Bamako Mali,Lab,community science,https://www.kabakoo.africa/,,yes
,Scintia,Monterrey NL  México,company,education,https://www.scintia.com/,,yes
,STICLab,'Dar Es Salaam TANZANIA',company,community science,http://sticlab.co.tz,,yes
,BioHacking Colombia,Medellín,community,education,https://www.facebook.com/BiohackingColombia/,,no
,TECSCI: Technology for Science,San Martin Buenos Aires Argentina,company,academic research,http://www.unsam.edu.ar/institutos/ins/,,yes
,TecnoX-UNQ,Quilmes Buenos Aires Argentina,community,academic research,https://www.facebook.com/groups/tecnoxunq/,,no
,Cientopolis,La Plata Buenos Aires Argentina,project,community science,http://www.cientopolis.org/,,yes
,Villa Inflamable,Inflamable Buenos Aires Argentina,project,community science,https://www.academia.edu/27468825/The_case_of_Villa_Inflamable,,yes
,Centro de Investigaciones del Medio Ambiente-UNLP,La Plata Buenos Aires Argentina,Lab,academic research,https://linktr.ee/solrepresa,,yes
,Papatronica,Balcarce Argentina,project,social innovation,https://github.com/lucianovelazquez/papatronica,,yes
